,global,k1,k2,k5,k10,k25,k50,k100,k200,k2500
global,1.0000,0.3793,0.4035,0.4286,0.6000,0.7021,0.6667,0.6327,0.6667,0.7021
k1,0.3793,1.0000,0.4035,0.3115,0.3793,0.2903,0.4035,0.3793,0.3115,0.3333
k2,0.4035,0.4035,1.0000,0.4545,0.3793,0.3115,0.4286,0.3793,0.3793,0.3559
k5,0.4286,0.3115,0.4545,1.0000,0.4035,0.4286,0.4035,0.3793,0.3793,0.4035
k10,0.6000,0.3793,0.3793,0.4035,1.0000,0.5686,0.6000,0.6327,0.6000,0.6327
k25,0.7021,0.2903,0.3115,0.4286,0.5686,1.0000,0.6327,0.7391,0.7021,0.6667
k50,0.6667,0.4035,0.4286,0.4035,0.6000,0.6327,1.0000,0.7391,0.7021,0.6667
k100,0.6327,0.3793,0.3793,0.3793,0.6327,0.7391,0.7391,1.0000,0.7021,0.6667
k200,0.6667,0.3115,0.3793,0.3793,0.6000,0.7021,0.7021,0.7021,1.0000,0.7391
k2500,0.7021,0.3333,0.3559,0.4035,0.6327,0.6667,0.6667,0.6667,0.7391,1.0000
