task	model	method	metrics	samples
LaMP-1	LLaMA3-8b-Instruct	Baseline	acc=0.6240, f1=0.6070	2500
LaMP-1	LLaMA3-8b-Instruct	ContextAwareDecoding	acc=0.6240, f1=0.6070	2500
LaMP-1	LLaMA3-8b-Instruct	DPSWeightedSoft	acc=0.6356, f1=0.6288	2500
LaMP-1	LLaMA3-8b-Instruct	DeCoReVanilla	acc=0.6232, f1=0.6200	2500
LaMP-1	LLaMA3-8b-Instruct	DoLa	acc=0.6156, f1=0.5961	2500
LaMP-1	Mistral-7B-Instruct-v0.3	DPSWeightedSoft	acc=0.0008, f1=0.0016	2500
LaMP-1	Mistral-7b-Instruct	Baseline	acc=0.0004, f1=0.0008	2500
LaMP-1	Qwen2-7B-Instruct	DPSWeightedSoft	acc=0.6932, f1=0.7078	2500
LaMP-2	LLaMA3-8b-Instruct	Baseline	acc=0.4552, f1=0.3839	692
LaMP-2	LLaMA3-8b-Instruct	ContextAwareDecoding	acc=0.4552, f1=0.3839	692
LaMP-2	LLaMA3-8b-Instruct	DPSWeightedSoft	acc=0.4610, f1=0.3910	692
LaMP-2	LLaMA3-8b-Instruct	DeCoReVanilla	acc=0.4639, f1=0.4034	692
LaMP-2	Mistral-7B-Instruct-v0.3	DPSWeightedSoft	acc=0.0939, f1=0.1487	692
LaMP-2	Qwen2-7B-Instruct	DPSWeightedSoft	acc=0.3902, f1=0.3202	692
LaMP-3	LLaMA3-8b-Instruct	Baseline	mae=0.4426, rmse=0.9300	2500
LaMP-3	LLaMA3-8b-Instruct	ContextAwareDecoding	mae=0.4426, rmse=0.9300	2500
LaMP-3	LLaMA3-8b-Instruct	DeCoReVanilla	mae=0.4442, rmse=0.9458	2500
LaMP-3	Qwen2-7B-Instruct	DPSWeightedSoft	mae=0.3276, rmse=0.6719	2500
LaMP-4	LLaMA3-8b-Instruct	Baseline	r1=0.1681, rL=0.1498, meteor=0.1568	1925
LaMP-4	LLaMA3-8b-Instruct	ContextAwareDecoding	r1=0.1681, rL=0.1498, meteor=0.1568	1925
LaMP-4	LLaMA3-8b-Instruct	DPSWeightedSoft	r1=0.1686, rL=0.1495, meteor=0.1550	1925
LaMP-4	LLaMA3-8b-Instruct	DeCoReVanilla	r1=0.1768, rL=0.1572, meteor=0.1626	1925
LaMP-4	LLaMA3-8b-Instruct	DoLa	r1=0.1694, rL=0.1508, meteor=0.1592	1925
LaMP-4	Mistral-7B-Instruct-v0.3	DPSWeightedSoft	r1=0.1537, rL=0.1362, meteor=0.1399	1925
LaMP-4	Qwen2-7B-Instruct	DPSWeightedSoft	r1=0.1529, rL=0.1347, meteor=0.1318	1925
LaMP-5	LLaMA3-8b-Instruct	Baseline	r1=0.3530, rL=0.3068, meteor=0.3925	2500
LaMP-5	LLaMA3-8b-Instruct	ContextAwareDecoding	r1=0.3530, rL=0.3068, meteor=0.3925	2500
LaMP-5	LLaMA3-8b-Instruct	DPSWeightedSoft	r1=0.3242, rL=0.2785, meteor=0.3826	2500
LaMP-5	LLaMA3-8b-Instruct	DeCoReVanilla	r1=0.4010, rL=0.3527, meteor=0.4004	2500
LaMP-5	Mistral-7B-Instruct-v0.3	DPSWeightedSoft	r1=0.3984, rL=0.3352, meteor=0.4162	2500
LaMP-5	Qwen2-7B-Instruct	DPSWeightedSoft	r1=0.4071, rL=0.3424, meteor=0.4230	2500
LaMP-7	LLaMA3-8b-Instruct	Baseline	r1=0.3368, rL=0.2893, meteor=0.2813	1500
LaMP-7	LLaMA3-8b-Instruct	ContextAwareDecoding	r1=0.3368, rL=0.2893, meteor=0.2813	1500
LaMP-7	LLaMA3-8b-Instruct	DPSWeightedSoft	r1=0.3186, rL=0.2698, meteor=0.2684	1500
LaMP-7	LLaMA3-8b-Instruct	DeCoReVanilla	r1=0.3231, rL=0.2764, meteor=0.2729	1500
LaMP-7	LLaMA3-8b-Instruct	DoLa	r1=0.3365, rL=0.2877, meteor=0.2795	1500
LaMP-7	Mistral-7B-Instruct-v0.3	DPSWeightedSoft	r1=0.3242, rL=0.2797, meteor=0.2890	1500
LaMP-7	Qwen2-7B-Instruct	DPSWeightedSoft	r1=0.3432, rL=0.2978, meteor=0.3169	1500
