layer,head,count
28,18,50
30,18,50
29,18,48
2,15,35
31,5,33
29,12,29
2,20,25
31,10,23
10,6,22
0,11,21
14,11,20
1,15,18
3,28,18
4,14,18
31,1,18
5,14,17
7,14,17
9,12,17
14,26,17
16,19,17
5,23,16
9,22,16
10,22,16
0,22,15
6,3,15
9,20,15
2,28,14
3,16,14
6,20,14
8,5,14
8,14,14
10,15,14
15,8,14
0,2,13
0,14,13
1,30,13
6,8,13
8,11,13
9,28,13
30,15,13
2,4,12
5,15,12
10,13,12
31,13,12
1,25,11
5,16,11
7,11,11
8,30,11
15,26,11
16,15,11
29,5,11
4,20,10
6,23,10
7,20,10
12,5,10
12,11,10
12,26,10
12,28,10
15,6,10
15,15,10
1,13,9
3,25,9
4,15,9
4,23,9
8,8,9
8,20,9
9,19,9
10,26,9
11,10,9
12,24,9
16,5,9
17,18,9
26,11,9
30,23,9
1,20,8
1,28,8
1,31,8
3,20,8
5,20,8
6,14,8
7,23,8
13,16,8
26,14,8
28,14,8
30,14,8
0,17,7
0,18,7
1,29,7
2,11,7
2,30,7
4,10,7
5,11,7
5,25,7
5,28,7
5,29,7
8,15,7
9,14,7
10,2,7
10,14,7
10,29,7
11,30,7
14,16,7
14,28,7
15,0,7
16,28,7
1,26,6
2,16,6
4,13,6
4,27,6
6,19,6
12,10,6
13,14,6
14,5,6
14,18,6
15,1,6
16,11,6
28,13,6
29,15,6
30,17,6
31,18,6
0,1,5
2,1,5
4,0,5
4,16,5
5,3,5
5,8,5
6,28,5
9,11,5
10,28,5
11,3,5
12,0,5
24,30,5
31,29,5
0,20,4
0,25,4
1,0,4
2,12,4
2,31,4
3,11,4
3,14,4
3,15,4
3,30,4
4,28,4
7,5,4
7,17,4
11,15,4
11,18,4
11,25,4
12,15,4
12,16,4
14,8,4
15,10,4
15,27,4
16,10,4
17,1,4
24,11,4
30,0,4
30,6,4
30,16,4
0,5,3
0,9,3
0,28,3
0,30,3
0,31,3
1,17,3
2,13,3
2,21,3
3,0,3
3,6,3
3,8,3
3,17,3
4,11,3
4,26,3
5,27,3
6,16,3
6,17,3
7,15,3
7,25,3
8,3,3
8,4,3
8,6,3
8,18,3
8,19,3
9,7,3
9,15,3
10,4,3
10,19,3
10,20,3
10,23,3
11,27,3
11,28,3
12,14,3
12,20,3
12,25,3
13,31,3
14,27,3
15,3,3
15,9,3
15,23,3
16,18,3
18,30,3
20,30,3
25,2,3
27,30,3
0,16,2
0,27,2
1,16,2
1,18,2
1,19,2
1,27,2
2,18,2
2,29,2
3,9,2
3,12,2
4,2,2
4,3,2
4,4,2
4,29,2
5,21,2
5,31,2
6,0,2
6,13,2
6,18,2
6,26,2
7,1,2
7,3,2
7,9,2
7,12,2
7,13,2
7,22,2
7,28,2
8,16,2
9,5,2
9,13,2
9,26,2
10,1,2
10,8,2
11,4,2
11,6,2
11,7,2
11,19,2
12,6,2
12,12,2
14,15,2
14,30,2
14,31,2
15,4,2
15,16,2
15,30,2
16,16,2
16,17,2
17,6,2
17,12,2
20,12,2
24,3,2
24,19,2
27,11,2
28,1,2
28,23,2
28,25,2
29,31,2
30,5,2
0,3,1
0,12,1
0,13,1
0,15,1
0,29,1
1,9,1
1,10,1
1,22,1
1,23,1
2,6,1
2,14,1
2,19,1
2,27,1
3,4,1
3,13,1
3,24,1
3,31,1
4,22,1
4,25,1
4,30,1
4,31,1
5,0,1
5,1,1
5,4,1
5,6,1
5,10,1
5,12,1
5,18,1
5,19,1
5,24,1
5,26,1
7,16,1
7,18,1
7,19,1
7,26,1
7,29,1
8,13,1
8,25,1
8,26,1
8,27,1
8,31,1
9,3,1
9,4,1
9,17,1
9,18,1
9,23,1
10,3,1
10,5,1
10,7,1
10,11,1
10,12,1
10,24,1
10,25,1
10,30,1
11,2,1
11,11,1
11,12,1
11,14,1
11,17,1
11,20,1
11,21,1
11,22,1
11,23,1
12,2,1
12,8,1
12,19,1
12,22,1
13,28,1
14,0,1
14,2,1
14,3,1
14,10,1
14,17,1
14,23,1
14,24,1
14,25,1
15,20,1
15,21,1
16,1,1
16,3,1
16,6,1
16,7,1
16,22,1
16,25,1
17,3,1
17,24,1
18,5,1
18,8,1
18,11,1
18,12,1
18,31,1
19,3,1
19,5,1
19,11,1
20,4,1
21,3,1
21,5,1
21,9,1
21,10,1
21,13,1
21,14,1
21,15,1
22,13,1
22,19,1
25,1,1
25,16,1
25,19,1
25,21,1
25,27,1
26,15,1
26,16,1
26,18,1
26,22,1
27,23,1
28,3,1
28,5,1
28,7,1
29,30,1
30,2,1
30,7,1
30,13,1
30,19,1
30,25,1
30,26,1
31,7,1
31,12,1
